product_title,brand,product_url,part_number,bci_group_size,cold_cranking_amperage,cranking_amperage,amperage_tier,height,length,width,product_size_tier,negative_terminal_location,positive_terminal_location,reserve_capacity,terminal_type,voltage,weight,weight_tier,amp_hour,product_attributes,product_reviews,product_warranty,sale_price,price_tier,skuid,product_id,units_sold,search_term,category,revenue,market_share,group_size
DieHard Powersports,DieHard,https://shop.advanceautoparts.com/p/diehard-powersports-power-sport-battery-16-b/2090007-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,NA,240 A,NA,NA,6.1,6.89,3.94,101-200sq.inch,NA,NA,NA,NA,12 volt,11.9,10.1-20pound,NA,Power Sport Battery,(17 reviews),90 DAY REPLACEMENT IF DEFECTIVE,67.99,51-100$,2090007,2090007,4,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,271.96,6.12E-05,NA
DieHard Powersports,DieHard,https://shop.advanceautoparts.com/p/diehard-powersports-power-sport-battery-16cl-b/2090201-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,NA,240 A,NA,NA,6.89,6.89,3.94,101-200sq.inch,NA,NA,NA,NA,12 volt,12,10.1-20pound,NA,Power Sport Battery,(31 reviews),90 DAY REPLACEMENT IF DEFECTIVE,83.99,51-100$,2090201,2090201,11,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,923.89,0.000208,NA
DieHard HD Battery,DieHard,https://shop.advanceautoparts.com/p/diehard-hd-battery-heavy-duty-commercial-farm-battery-group-size-31a-1000-cca-31hdp30/11968148-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,31A,1000 A,1190 A,1001-1500AMP,9.437,13,6.812,501-1000sq.inch,Top Right,Top Left,185 min,Top Mount,12 volt,63,>40pound,NA,"Heavy Duty Commercial & Farm Battery, Group Size 31A, 1000 CCA",(0 reviews),1 YR FREE REPLACEMENT,132.99,101-200$,11968148,11968148,33,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,4388.67,0.000987,31A
Optima,Optima,https://shop.advanceautoparts.com/p/optima-yellow-top-deep-cycle-battery-group-size-75-86-620-cca-d75-25/16940020-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,NA,620 A,770 A,601-800AMP,7.75,9.375,6.812,201-500sq.inch,NA,NA,100 min,Dual Terminal,12 volt,37.8,20.1-40pound,NA,"Yellow Top Deep Cycle Battery, Group Size 75/86, 620 CCA",(26 reviews),3 YR FREE REPLACEMENT,284.99,201-400$,16940020,16940020,4,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,1139.96,0.000256,75/86
DieHard Powersports,DieHard,https://shop.advanceautoparts.com/p/diehard-powersports-power-sport-battery-12n12a-4a-1/2090017-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,NA,113 A,NA,NA,6.3,5.28,3.15,101-200sq.inch,NA,NA,NA,NA,12 volt,7.7,5.1-10pound,NA,Power Sport Battery,(4 reviews),3 MO FREE REPLACEMENT,49.99,1-50$,2090017,2090017,9,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,449.91,0.000101,NA
DieHard Powersports,DieHard,https://shop.advanceautoparts.com/p/diehard-powersports-power-sport-battery-9l-b/2090325-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,NA,130 A,NA,NA,5.47,5.31,2.95,51-100sq.inch,NA,NA,NA,NA,12 volt,6.8,5.1-10pound,NA,Power Sport Battery,(1 reviews),3 MO FREE REPLACEMENT,49.99,1-50$,2090325,2090325,4,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,199.96,4.5E-05,NA
DieHard Powersports,DieHard,https://shop.advanceautoparts.com/p/diehard-powersports-power-sport-battery-14-a2/2090406-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,NA,190 A,NA,NA,6.54,5.28,3.5,101-200sq.inch,NA,NA,NA,NA,12 volt,9.2,5.1-10pound,NA,Power Sport Battery,(10 reviews),90 DAY REPLACEMENT IF DEFECTIVE,68.99,51-100$,2090406,2090406,20,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,1379.8,0.00031,NA
DieHard Gold,DieHard,https://shop.advanceautoparts.com/p/diehard-gold-battery-group-size-66-750-cca-66-2/99996787-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,66,750 A,935 A,801-1000AMP,7.64,12.06,7.562,501-1000sq.inch,Top Right,Top Left,140 min,Top Mount,12 volt,45.81,>40pound,NA,"Battery, Group Size 66, 750 CCA",(43 reviews),3 YR FREE REPLACEMENT,179.99,101-200$,99996787,99996787,21,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,3779.79,0.00085,66
Duracell,Duracell,https://shop.advanceautoparts.com/p/duracell-coppertop-aaa-alkaline-batteries-8-pack-durmn24b8ptpz99/12257482-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CopperTop AAA Alkaline Batteries - 8 Pack,(0 reviews),30 DAY REPLACEMENT IF DEFECTIVE,9.99,1-50$,12257482,12257482,75,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,749.25,0.000169,NA
DieHard Gold,DieHard,https://shop.advanceautoparts.com/p/diehard-gold-battery-group-size-t8-800-cca-t8/10450413-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,NA,NA,NA,NA,6.937,13.937,6.937,501-1000sq.inch,Top Left,Top Right,NA,Top Mount,12 volt,51.3,>40pound,90.0 Ah,"Battery, Group Size T8, 800 CCA",(2 reviews),3 YR FREE REPLACEMENT,179.99,101-200$,10450413,10450413,0,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,0,0,T8
