title,product_url,skuid,brand,category,price,price_tier,mo_sales,mo_revenue,market_share,model,oem_part_number,item_weight,weight_tier,product_dimensions,product_size_tier,amperage,amperage_tier,voltage,country_of_origin,vehicle_service_type,Type,,
noco genius1 1-amp fully-automatic smart charger 6v and 12v battery charger battery maintainer trickle charger and battery desulfator with temperature compensation,https://www.amazon.com/NOCO-GENIUS1-Fully-Automatic-Temperature-Compensation/dp/B07W46BX31/ref=sr_1_34?_encoding=UTF8&c=ts&dchild=1&keywords=Jump+Starters+%26+Battery+Chargers&qid=1633486070&s=automotive&sr=1-34&ts_id=387679011,B07W46BX31,NOCO,Jump Sarter,29.95,0-50$,12596,377250,1.98805281701683,GENIUS1,,0.76875,0-1pound,3.5 x 2.3 x 1.3 inches,1-50sq.inch,,,,China,,non portable,,
noco boost pro gb150 3000 amp 12-volt ultrasafe lithium jump starter box car battery booster pack portable power bank charger and jumper cables for up to 9-liter gasoline and 7-liter diesel engines,https://www.amazon.com/dp/B015TKSSB8,B015TKSSB8,NOCO,Jump Sarter,299.95,201-400$,1454,436127,2.29832607270271,GB150,GB150,7.5,5.1-10pound,16.85 x 9.21 x 4.02 inches,501-1000sq.inch,3000 Amps,>500AMP,12 Volts,China,Passenger Car,portable,,
stanley j509 portable power station jump starter: 1000 peak/500 instant amps usb port battery clamps,https://www.amazon.com/STANLEY-J509-Jump-Starter-Instant/dp/B003ZYS8UW/ref=sr_1_36?_encoding=UTF8&c=ts&dchild=1&keywords=Jump+Starters+%26+Battery+Chargers&qid=1633486070&s=automotive&sr=1-36&ts_id=387679011,B003ZYS8UW,STANLEY,Jump Sarter,70.61,51-100$,583,41166,0.216938852923299,J509,,16.2,10.1-20pound,11.25 x 6.75 x 13.5 inches,>1000sq.inch,1000 Amps,>500AMP,12 Volts,China,Passenger Car,portable,,
autogen 4000 amp 32000mah lithium car jump starter (10.0l+ gas & diesel) 12v battery jumper box booster pack usb quick charge 3.0 charger portable power pack for cars suvs trucks,https://www.amazon.com/AUTOGEN-Starter-Diesel-Portable-Trucks/dp/B07KZSBLS4/ref=sr_1_37?_encoding=UTF8&c=ts&dchild=1&keywords=Jump+Starters+%26+Battery+Chargers&qid=1633486070&s=automotive&sr=1-37&ts_id=387679011,B07KZSBLS4,AUTOGEN,Jump Sarter,189.98,101-200$,484,91950,0.484563171702312,,,4.15,2.1-5pound,9.33 x 3.74 x 1.69 inches,51-100sq.inch,4000 Amps,>500AMP,12 Volts,,"Passenger Car, SUV, Truck",portable,,
diehard 71326 6/12v gold shelf smart battery charger and 12/80a engine starter  black,https://www.amazon.com/DieHard-71326-Battery-Charger-Starter/dp/B07777DLBX/ref=sr_1_38?_encoding=UTF8&c=ts&dchild=1&keywords=Jump+Starters+%26+Battery+Chargers&qid=1633486070&s=automotive&sr=1-38&ts_id=387679011,B07777DLBX,DieHard,Jump Sarter,89.99,51-100$,226,20338,0.107178311974786,,,13.35,10.1-20pound,10 x 5.88 x 10.88 inches,501-1000sq.inch,80,51-100AMP,12 Volts,Mexico,Passenger Car,non portable,,
gooloo car jump starter1500a 12-volt lithium battery booster for up to 8.0l gas & 6.0l diesel enginesportable water-resistant car battery charger jump box with usb quick charge & type-c portyellow,https://www.amazon.com/GOOLOO-Starter-12-Volt-Portable-Water-Resistant/dp/B08V8BLJLL/ref=sr_1_41?_encoding=UTF8&c=ts&dchild=1&keywords=Jump+Starters+%26+Battery+Chargers&qid=1633486070&s=automotive&sr=1-41&ts_id=387679011,B08V8BLJLL,GOOLOO,Jump Sarter,79.99,51-100$,1254,100307,0.528603350341966,Portable jump starter,,2.55,2.1-5pound,7.4 x 3.66 x 1.39 inches,1-50sq.inch,1500 Amps,>500AMP,12 Volts,,"Passenger Car, Motorcycle, Van, ATV, UTV, Truck, Snowmobile",portable,,
gooloo jump starter battery pack 1200a peak 18000mah supersafe car starter (up to 7.0l gas or 5.5l diesel engine) with usb quick charge and led light12v lithium jump box booster portable chargergray,https://www.amazon.com/dp/B08CXMS19H,B08CXMS19H,GOOLOO,Jump Sarter,69.99,51-100$,1633,114294,0.602312812904231,Jump starter,,2.66,2.1-5pound,6.18 x 2.95 x 1.42 inches,1-50sq.inch,1200 Amps,>500AMP,12 Volts,,"ATV, UTV, Dirt Bike, Snowmobile, Adventure, Personal Watercraft",portable,,
sanrock car battery starter 2500a peak 22800mah jump starter for cars trucks and suv(up to 8l gas/8l diesel engine) 12v auto battery booster jump pack with type-c usb quick charge 3.0 and led light,https://www.amazon.com/SANROCK-Battery-Starter-22800mAh-Flashlight/dp/B08FDV18LW/ref=sr_1_43?_encoding=UTF8&c=ts&dchild=1&keywords=Jump+Starters+%26+Battery+Chargers&qid=1633486070&s=automotive&sr=1-43&ts_id=387679011,B08FDV18LW,SANROCK,Jump Sarter,69.99,51-100$,148,10359,0.054590428446593,TC2000,,1.2,1.1-2pound,6.68 x 3.54 x 1.97 inches,1-50sq.inch,2500 Amps,>500AMP,12 Volts,,"Car, Truck, UTV, Motorcycle, Dirt Bike,Personal Watercraft, RV or tractor",non portable,,
aizico portable car jump starter 2500a peak 22800mah battery booster for cars trucks and suv(up to 8l gas/diesel engine) 12v auto battery jump pack with type-c usb quick charge 3.0 and led light,https://www.amazon.com/AIZICO-Portable-Starter-22800mAh-Battery/dp/B095K2C8TG/ref=sr_1_45?_encoding=UTF8&c=ts&dchild=1&keywords=Jump+Starters+%26+Battery+Chargers&qid=1633486070&s=automotive&sr=1-45&ts_id=387679011,B095K2C8TG,AIZICO,Jump Sarter,69.98,51-100$,353,24703,0.130181229261144,,,1.37,1.1-2pound,6.69 x 3.74 x 2.03 inches,51-100sq.inch,2500,>500AMP,,,"Passenger Car, SUV, Truck",portable,,
biuble car jump starter 2500a peak 24000mah (up to all gas or 8.0l diesel engine 50 times) 12v auto booster battery pack jump box with 10w wireless charger smart jump cables,https://www.amazon.com/BIUBLE-Starter-24000mAh-Booster-Wireless/dp/B08TVV2L5C/ref=sr_1_46?_encoding=UTF8&c=ts&dchild=1&keywords=Jump+Starters+%26+Battery+Chargers&qid=1633486070&s=automotive&sr=1-46&ts_id=387679011,B08TVV2L5C,BIUBLE,Jump Sarter,67.98,51-100$,410,27872,0.14688139990959,,,2.87,2.1-5pound,7.28 x 3.62 x 1.69 inches,1-50sq.inch,2500 Amps,>500AMP,12 Volts,,"Passenger Car, Truck",non portable,,
