product_name,product_url,skuid,brand,category,price,price_tier,mo_sales,mo_revenue,market_share,model,oem_part_number,item_weight,weight_tier,product_dimensions,product_size_tier,amperage,amperage_tier,voltage,country_of_origin,vehicle_service_type
yuasa yuam223la yb3l-a battery,https://www.amazon.com/Yuasa-YUAM223LA-YB3L-A-Battery/dp/B000GZX9YS/ref=sr_1_40?dchild=1&qid=1633495512&s=automotive&sr=1-40,B000GZX9YS,Yuasa,Batteries,35.39,0-50$,39,1380,0.0403895779669584,YUAM223LA,NA,2.5,2.1-5pound,2.5 x 5.25 x 5 inches,51-100sq.inch,NA,NA,12 Volts,NA,Dirt Bike
yuasa yuam223lb yb3l-b battery,https://www.amazon.com/Yuasa-YUAM223LB-YB3L-B-Battery/dp/B000GZV8YQ/ref=sr_1_42?dchild=1&qid=1633495512&s=automotive&sr=1-42,B000GZV8YQ,Yuasa,Batteries,35.69,0-50$,30,1071,0.031345824639574235,YUAM223LB,NA,2.5,2.1-5pound,4.75 x 2.5 x 5 inches,51-100sq.inch,NA,NA,12 Volts,Taiwan,Dirt Bike
yuasa yuam2290b 12n9-4b-1 battery,https://www.amazon.com/Yuasa-YUAM2290B-12N9-4B-1-Battery/dp/B000GTW23S/ref=sr_1_43?dchild=1&qid=1633495512&s=automotive&sr=1-43,B000GTW23S,Yuasa,Batteries,37.3,0-50$,39,1455,0.04258466372603222,YUAM2290B,YUAM2290B,2,1.1-2pound,3.5 x 6 x 7 inches,101-200sq.inch,NA,NA,12 Volts,Taiwan,Scooter
yuasa yuam2645a 6n4-2a-5 battery multi-colored,https://www.amazon.com/Yuasa-YUAM2645A-Lead_Acid_Battery/dp/B000GS4EVW/ref=sr_1_44?dchild=1&qid=1633495512&s=automotive&sr=1-44,B000GS4EVW,Yuasa,Batteries,28.2,0-50$,60,1692,0.04952113472470552,YUAM2645A,NA,1,0-1pound,4.7 x 4.3 x 3.3 inches,51-100sq.inch,NA,NA,6 Volts,Taiwan,Dirt Bike
yuasa (yuam62tz5) ytz5s factory activated battery,https://www.amazon.com/Yuasa-YUAM62TZ5-Factory-Activated-Battery/dp/B00JDPR4GQ/ref=sr_1_45?dchild=1&qid=1633495512&s=automotive&sr=1-45,B00JDPR4GQ,Yuasa,Batteries,90.73,51-100$,39,3538,0.10354951220804262,YUAM62TZ5,NA,2.2,2.1-5pound,9 x 7.8 x 6.5 inches,2011-500sq.inch,NA,NA,12 Volts,Indonesia,"Street-touring-motorcycles, Off Road Motorcycle, Scooter"
power-sonic (ptx4b-bs) sealed maintenance free powersport battery,https://www.amazon.com/Power-Sonic-PTX4B-BS-Maintenance-Powersport-Battery/dp/B00I1KMJTQ/ref=sr_1_46?dchild=1&qid=1633495512&s=automotive&sr=1-46,B00I1KMJTQ,Power-Sonic,Batteries,44.29,0-50$,30,1329,0.038896919650788196,PTX4B-BS,NA,2.1,2.1-5pound,5.2 x 4.3 x 3.5 inches,51-100sq.inch,NA,NA,12 Volts,China,"Street-touring-motorcycles, ATV, Street-sport-motorcycles, Off Road Motorcycle, Scooter, Street-cruiser-motorcycles, Snowmobile, Personal Watercraft"
odyssey pc625 powersports battery,https://www.amazon.com/ODYSSEY-PC625-Odyssey-Powersports-Battery/dp/B0000BYEXO/ref=sr_1_47?dchild=1&qid=1633495512&s=automotive&sr=1-47,B0000BYEXO,ODYSSEY,Batteries,140.99,101-200$,31,4371,0.1279295980388226,ODY,PC625,13.2,10.1-20pound,6.7 x 3.9 x 6.89 inches,101-200sq.inch,18 Amps,0-20AMP,12 Volts,NA,"ATV, Motorcycle, Snowmobile, Gyrocopter, Personal Watercraft"
yuasa yuam224lb yb4l-b battery,https://www.amazon.com/Yuasa-YUAM224LB-YB4L-B-Battery/dp/B000GU11VQ/ref=sr_1_48?dchild=1&qid=1633495512&s=automotive&sr=1-48,B000GU11VQ,Yuasa,Batteries,23.79,0-50$,30,714,0.020897216426382825,YUAM224LB,NA,2,1.1-2pound,3 x 4.5 x 6 inches,51-100sq.inch,NA,NA,12 Volts,Taiwan,Dirt Bike
yuasa yuam2614j b38-6a battery,https://www.amazon.com/Yuasa-YUAM2614J-Lead_Acid_Battery/dp/B000GZTAK0/ref=sr_1_49?dchild=1&qid=1633495538&s=automotive&sr=1-49,B000GZTAK0,Yuasa,Batteries,59.19,51-100$,21,1243,0.036379887980383545,YUAM2614J,NA,4.8,2.1-5pound,6.9 x 5.5 x 3.6 inches,101-200sq.inch,NA,NA,6 Volts,Taiwan,Street Bike
yuasa yuam2663b 6n6-3b-1 battery,https://www.amazon.com/Yuasa-YUAM2663B-Lead_Acid_Battery/dp/B000GU011W/ref=sr_1_50?dchild=1&qid=1633495538&s=automotive&sr=1-50,B000GU011W,Yuasa,Batteries,25.39,0-50$,30,762,0.022302071312190072,YUAM2663B,YUAM2663B,1,0-1pound,5.4 x 2.9 x 5.3 inches,51-100sq.inch,NA,NA,6 Volts,Taiwan,Dirt Bike
yuasa yuam22212 yb12al-a2 battery,https://www.amazon.com/Yuasa-YUAM22212-YB12AL-A2-Battery/dp/B000GZV94A/ref=sr_1_51?dchild=1&qid=1633495538&s=automotive&sr=1-51,B000GZV94A,Yuasa,Batteries,51.49,51-100$,30,1545,0.045218766636920815,YUAM22212,YUAM22212,7,5.1-10pound,3.75 x 7 x 6.5 inches,101-200sq.inch,NA,NA,12 Volts,Taiwan,Street Bike
xs power d4700 12v bci group 47 agm battery (max amps 2900a ca: 745 ah: 50 2000w / 3000w),https://www.amazon.com/XS-Power-D4700-Lead_Acid_Battery/dp/B00B7WIKJS/ref=sr_1_52?dchild=1&qid=1633495538&s=automotive&sr=1-52,B00B7WIKJS,XS Power,Batteries,289.99,201-400$,30,8700,0.2546299480525638,D4700,D4700,41.2,>40pound,6.5 x 6.5 x 6.2 inches,2011-500sq.inch,NA,NA,12 Volts,NA,SUV
acdelco gold atx12abs 12 month warranty powersports agm jis 12a-bs battery,https://www.amazon.com/ACDelco-ATX12ABS-Specialty-Powersports-Battery/dp/B01BYBPSRI/ref=sr_1_53?dchild=1&qid=1633495538&s=automotive&sr=1-53,B01BYBPSRI,ACDelco,Batteries,54.08,51-100$,30,1622,0.04747238801623661,NA,88865571,6.6,5.1-10pound,6.5 x 6.5 x 6.2 inches,2011-500sq.inch,NA,NA,12 Volts,Vietnam,"ATV, Motorcycle, Snowmobile"
yuasa yuam227bb yb7b-b battery,https://www.amazon.com/Yuasa-YUAM227BB-YB7B-B-Battery/dp/B000GZRBUQ/ref=sr_1_54?dchild=1&qid=1633495538&s=automotive&sr=1-54,B000GZRBUQ,Yuasa,Batteries,40.99,0-50$,28,1148,0.033599446018890027,YUAM227BB,YUAM227BB,4,2.1-5pound,5.75 x 2.75 x 7.25 inches,101-200sq.inch,NA,NA,12 Volts,Taiwan,Dirt Bike
yuasa yuam26c4b 6n4c-1b battery,https://www.amazon.com/Yuasa-YUAM26C4B-Lead_Acid_Battery/dp/B000GZV8HS/ref=sr_1_55?dchild=1&qid=1633495538&s=automotive&sr=1-55,B000GZV8HS,Yuasa,Batteries,26.93,0-50$,39,1050,0.030731200627033568,YUAM26C4B,NA,1.72,1.1-2pound,4.7 x 4.4 x 3.6 inches,51-100sq.inch,NA,NA,6 Volts,Taiwan,Dirt Bike
acdelco gold atz7sbs 12 month warranty powersports agm jis 7s-bs battery,https://www.amazon.com/ACDelco-ATZ7SBS-Specialty-Powersports-Battery/dp/B00BFLVUDO/ref=sr_1_57?dchild=1&qid=1633495538&s=automotive&sr=1-57,B00BFLVUDO,ACDelco,Batteries,43.59,0-50$,30,1308,0.038282295638247525,NA,88863887,4.9,2.1-5pound,6 x 5.3 x 4.8 inches,101-200sq.inch,NA,NA,12 Volts,Vietnam,"ATV, Motorcycle, Snowmobile"
