product_title,brand,product_url,part_number,bci_group_size,cold_cranking_amperage,cranking_amperage,amperage_tier,height,length,width,product_size_tier,negative_terminal_location,positive_terminal_location,reserve_capacity,terminal_type,voltage,weight,weight_tier,amp_hour,product_attributes,product_reviews,product_warranty,product_reg_price,skuid,product_warranty.y,search_term,category,units_sold,sale_price,price_tier,revenue,market_share
DieHard Platinum,DieHard,https://shop.advanceautoparts.com/p/diehard-platinum-battery-bci-group-size-65-750-cca-935-ca-150-rc-65-rp/12257750-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,65,750 A,935 A,>500AMP,,,,,Top Right,Top Left,150 min,Top Mount,12.0 VDC,,,,"Battery, BCI Group Size 65, 750 CCA, 935 CA, 150 RC",(0 reviews),4 YR REPLACEMENT IF DEFECTIVE,199.99,12257750,4 YR REPLACEMENT IF DEFECTIVE,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,25,199.99,101-200$,4999.75,0.00929146
DieHard Silver,DieHard,https://shop.advanceautoparts.com/p/diehard-silver-battery-group-size-34-660-cca-34-1/2040271-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,34,660 A,885 A,>500AMP,7.875,10.25,6.812,501-1000sq.inch,Top Right,Top Left,115 min,Top Mount,12.0 VDC,37.51,20.1-40pound,,"Battery, Group Size 34, 660 CCA",(215 reviews),2 YR FREE REPLACEMENT,159.99,2040271,2 YR FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,23,159.99,101-200$,3679.77,0.006838429
Optima,Optima,https://shop.advanceautoparts.com/p/optima-red-top-battery-group-size-75-86-720-cca-75-25-925/2040004-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,,720 A,910 A,>500AMP,7.75,9.375,6.812,201-500sq.inch,,,90 min,Dual Terminal,12.0 VDC,33.1,20.1-40pound,,"Red Top Battery, Group Size 75/86, 720 CCA",(133 reviews),3 YR FREE REPLACEMENT,224.99,2040004,3 YR FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,1,224.99,201-400$,224.99,0.00041811800000000004
DieHard Silver,DieHard,https://shop.advanceautoparts.com/p/diehard-silver-battery-group-size-75-650-cca-75-2/2040026-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,75,650 A,810 A,>500AMP,7.312,9.062000000000001,7.062,201-500sq.inch,Side Right,Side Left,95 min,Side Mount,12.0 VDC,32.11,20.1-40pound,,"Battery, Group Size 75, 650 CCA",(434 reviews),2 YR REPLACEMENT IF DEFECTIVE,159.99,2040026,2 YR REPLACEMENT IF DEFECTIVE,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,21,159.99,101-200$,3359.79,0.006243783
DieHard Red,DieHard,https://shop.advanceautoparts.com/p/diehard-red-battery-group-size-58-500-cca-58-1/2070138-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,58,500 A,625 A,>500AMP,6.937,10.06,7.187,501-1000sq.inch,Top Right,Top Left,75 min,Top Mount,12.0 VDC,28.09,20.1-40pound,,"Battery, Group Size 58, 500 CCA",(36 reviews),1 YR FREE REPLACEMENT,99.99,2070138,1 YR FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,3,99.99,51-100$,299.97,0.00055746
Optima,Optima,https://shop.advanceautoparts.com/p/optima-yellow-top-deep-cycle-battery-group-size-34-78-750-cca-d34-78-950/16210015-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,,750 A,870 A,>500AMP,7.875,10.06,6.937,501-1000sq.inch,,,120 min,Dual Terminal,12.0 VDC,43.5,>40pound,,"Yellow Top Deep Cycle Battery, Group Size 34/78, 750 CCA",(250 reviews),3 YR FREE REPLACEMENT,294.99,16210015,3 YR FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,5,294.99,201-400$,1474.95,0.002741025
DieHard Powersports,DieHard,https://shop.advanceautoparts.com/p/diehard-powersports-powersports-battery-group-size-btx14-bs-200-cca-tx14/16940011-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,,200 A,,,5.687,5.875,3.437,101-200sq.inch,Top Right,Top Left,,Top Mount,12.0 VDC,9.81,5.1-10pound,12.0 Ah,"Powersports Battery, Group Size BTX14-BS, 200 CCA",(87 reviews),90 DAY REPLACEMENT IF DEFECTIVE,115.99,16940011,90 DAY REPLACEMENT IF DEFECTIVE,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,28,115.99,101-200$,3247.72,0.0060355140000000005
DieHard Powersports,DieHard,https://shop.advanceautoparts.com/p/diehard-powersports-powersports-battery-group-size-btx12-bs-180-cca-tx12/16940010-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,,180 A,,,5.125,5.875,3.437,101-200sq.inch,Top Right,Top Left,,Top Mount,12.0 VDC,8.71,5.1-10pound,10.0 Ah,"Powersports Battery, Group Size BTX12-BS, 180 CCA",(32 reviews),90 DAY REPLACEMENT IF DEFECTIVE,94.99,16940010,90 DAY REPLACEMENT IF DEFECTIVE,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,17,94.99,51-100$,1614.83,0.003000976
Optima,Optima,https://shop.advanceautoparts.com/p/optima-yellow-top-deep-cycle-battery-group-size-51r-450-cca-d51r/16940001-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,51R,450 A,575 A,>500AMP,8.937000000000001,9.312000000000001,5.06,201-500sq.inch,Top Left,Top Right,66 min,Top Mount,12.0 VDC,26.0,20.1-40pound,,"Yellow Top Deep Cycle Battery, Group Size 51R, 450 CCA",(105 reviews),3 YR FREE REPLACEMENT,264.99,16940001,3 YR FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,2,264.99,201-400$,529.98,0.000984907
DieHard Golf Cart,DieHard,https://shop.advanceautoparts.com/p/diehard-golf-cart-6-volt-deep-cycle-service-battery-reserve-capacity-115-min-gc2/2100013-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,GC2,,,,10.7,10.3,7.1,501-1000sq.inch,Top Left,Top Right,115 min,Top Mount,6.0 VDC,62.1,>40pound,225.0 Ah,"6-Volt Deep-Cycle Service Battery, Reserve Capacity 115 min.",(78 reviews),1 YR FREE REPLACEMENT,136.99,2100013,1 YR FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,16,136.99,101-200$,2191.84,0.004073283
