title,product_url,skuid,brand,category,price,price_tier,mo_sales,mo_revenue,market_share,model,oem_part_number,item_weight,weight_tier,product_dimensions,product_size_tier,country_of_origin
e3 spark plugs e3.36 powersports spark plug (1) (e336),https://www.amazon.com/E3-Spark-Plug-E3-36-Powersports/dp/B0022ZAFOC/ref=sr_1_31?dchild=1&keywords=spark+plugs&qid=1633497805&s=automotive&sr=1-31,B0022ZAFOC,E3 Spark Plugs,spark plug,6.49,0-50$,1185,7691,0.649181285414396,E336,E3.36,0.2,0-1pound,6.5 x 4.5 x 0.8 inches,1-50sq.inch,China
denso set of 8 platinum tt spark plug gap .040 for v8,https://www.amazon.com/Denso-Platinum-Spark-Plug-040/dp/B08PVY6JZS/ref=sr_1_32?dchild=1&keywords=spark+plugs&qid=1633497805&s=automotive&sr=1-32,B08PVY6JZS,Newparts,spark plug,35.95,0-50$,41,1474,0.124417268846811,,"101905611A, 101905631A, 101905631G, 1881411051, 22401AA65A, 5862052370, 9091901169, 9091901196, 9091901197, 90919C1002, 980795517S, AGSP32F, AW350015, BP1318110, C2A1535",1.02,1.1-2pound,,,
ngk  3186 g-power platinum spark plugs tr5gp - 8 pcsnew,https://www.amazon.com/NGK-G-Power-Platinum-Spark-TR5GP/dp/B00PMKOI06/ref=sr_1_33?dchild=1&keywords=spark+plugs&qid=1633497805&s=automotive&sr=1-33,B00PMKOI06,NGK,spark plug,23.53,0-50$,456,10730,0.905696943504938,,,,,4.02 x 3.58 x 1.85 inches,1-50sq.inch,
ngk 7090 g-power platinum spark plugs bkr5egp - 6 pcsnew,https://www.amazon.com/NGK-G-Power-Platinum-Spark-BKR5EGP/dp/B00INLGAQG/ref=sr_1_36?dchild=1&keywords=spark+plugs&qid=1633497805&s=automotive&sr=1-36,B00INLGAQG,NGK,spark plug,18.5,0-50$,972,17982,1.51782315359793,,,0.1,0-1pound,6 x 3.9 x 1 inches,1-50sq.inch,
set of 8 oem motorcraft platinum sp546 (sp515) ht15 spark plugs for ford 5.4l,https://www.amazon.com/Motorcraft-Platinum-SP546-SP515-Spark/dp/B07DHQYBWW/ref=sr_1_37?dchild=1&keywords=spark+plugs&qid=1633497805&s=automotive&sr=1-37,B07DHQYBWW,Herko Automotive,spark plug,73.25,51-100$,385,28201,2.38038765179709,,"13292-9499451 F1000-399477-MTR HT15, MOFSP515 PZH-14-F PZH14F SP507 SP515",1.01,1.1-2pound,11.39 x 5.63 x 1.93 inches,101-200sq.inch,
pre grapped spark plugs 12120037244 zgr6ste2 with bmw e60 e90 e92 e93 135i 335i 535i pack of 6,https://www.amazon.com/Grapped-Spark-Plugs-12120037244-ZGR6STE2/dp/B0975MD36Z/ref=sr_1_38?dchild=1&keywords=spark+plugs&qid=1633497805&s=automotive&sr=1-38,B0975MD36Z,SHUJI,spark plug,14.61,0-50$,50,731,0.061702186924707,,,0.6,0-1pound,5.51 x 4.69 x 1.06 inches,1-50sq.inch,
ngk (7092) bkr6egp g-power spark plug (6 pack),https://www.amazon.com/NGK-BKR6EGP-G-Power-Spark-Plug/dp/B01M6TM497/ref=sr_1_39?dchild=1&keywords=spark+plugs&qid=1633497805&s=automotive&sr=1-39,B01M6TM497,NGK,spark plug,18.49,0-50$,409,7562,0.638292664192389,Spark Plugs,"#-N-G-K # BKR6EGP 7092, BKR6E GP, BKR6E-GP, BKR6EGP 7092, Iridium Spark Plug",0.0625,0-1pound,3.4 x 0.8 x 0.6 inches,1-50sq.inch,
vplus 4pcs iridium spark plug replaces 93501 lkar7bix-11s,https://www.amazon.com/Vplus-Iridium-Spark-Replaces-LKAR7BIX-11S/dp/B085XSQ174/ref=sr_1_40?dchild=1&keywords=spark+plugs&qid=1633497805&s=automotive&sr=1-40,B085XSQ174,Vplus,spark plug,25.98,0-50$,133,3455,0.291629351333603,CT17,"LKAR7BIX-11S, 93501",0.36875,0-1pound,3.94 x 3.9 x 1.02 inches,1-50sq.inch,
41-962 spark plugs + 9748hh herlux spark plug wires compatible with gmc yukon xl escalade tahoe silverado 1500 pontiac g8 h2 h3 savana sierra 2000-2012 for ls2 ls3 ls4 ls7 engines,https://www.amazon.com/Compatible-Escalade-Silverado-Pontiac-2000-2012/dp/B096836H29/ref=sr_1_41?dchild=1&keywords=spark+plugs&qid=1633497805&s=automotive&sr=1-41,B096836H29,Ballmers,spark plug,52.99,51-100$,56,2967,0.250438288106165,,"Spark Plugs Part number: 41-962 19299585., Spark Plugs Wires Part number: WGM48, 9748UU, 9748HH, 9748GG, 88862397, 88862385, 748UU, 748HH, 748GG, 19297035.",2.02,2.1-5pound,12.13 x 7.01 x 2.68 inches,2011-500sq.inch,
high performance platinum 12120037607 bkr6equp 3199 spark plugs compatible with bmw e39 e46 m54 328i 528i x3 x5 pack of 6,https://www.amazon.com/Performance-Platinum-12120037607-BKR6EQUP-Compatible/dp/B0986LYMK4/ref=sr_1_42?dchild=1&keywords=spark+plugs&qid=1633497805&s=automotive&sr=1-42,B0986LYMK4,SHUJI,spark plug,36.99,0-50$,60,2219,0.187301166601813,,,0.61875,0-1pound,5.59 x 4.06 x 1.1 inches,1-50sq.inch,
6 pcs new -- denso  5358 iridium power spark plugs -- ik20l,https://www.amazon.com/DENSO-IRIDIUM-Power-Spark-IK20L/dp/B00UBDVI5W/ref=sr_1_43?dchild=1&keywords=spark+plugs&qid=1633497805&s=automotive&sr=1-43,B00UBDVI5W,Denso,spark plug,39.84,0-50$,144,5737,0.484248216671745,,,0.65625,0-1pound,3.62 x 3.43 x 5.76 inches,51-100sq.inch,
ngk  5019 g-power spark plugs -- ltr5gp -- 4 pcs new,https://www.amazon.com/NGK-G-Power-Spark-Plugs-LTR5GP/dp/B00TTQEI7W/ref=sr_1_44?dchild=1&keywords=spark+plugs&qid=1633497805&s=automotive&sr=1-44,B00TTQEI7W,NGK,spark plug,15.24,0-50$,195,2972,0.250860327688413,,,0.01,0-1pound,3.7 x 0.94 x 3.32 inches,1-50sq.inch,
ngk 3951 pack of 8 spark plugs (tr55),https://www.amazon.com/NGK-V-Power-Nickel-Standard-0-060in/dp/B0724YYQG7/ref=sr_1_45?dchild=1&keywords=spark+plugs&qid=1633497805&s=automotive&sr=1-45,B0724YYQG7,NGK,spark plug,18.31,0-50$,1220,22338,1.88550403765268,,,0.11,0-1pound,96.48 x 41.52 x 10.92 inches,>1000sq.inch,
genuine hyundai spark plugs 18847-11160 set of 4,https://www.amazon.com/Genuine-Hyundai-Spark-Plugs-18847-11160/dp/B008N2JQLQ/ref=sr_1_46?dchild=1&keywords=spark+plugs&qid=1633497805&s=automotive&sr=1-46,B008N2JQLQ,HYUNDAI,spark plug,42.82,0-50$,120,5138,0.433687874718394,,18847-11160,0.15,0-1pound,4.1 x 3.5 x 1 inches,1-50sq.inch,
epauto swivel magnetic spark plug socket 6 point 5/8-inch x 6-inch,https://www.amazon.com/EPAuto-Swivel-Magnetic-Socket-8-inch/dp/B071ZT9VZK/ref=sr_1_47?dchild=1&keywords=spark+plugs&qid=1633497805&s=automotive&sr=1-47,B071ZT9VZK,EPAUTO,spark plug,9.97,0-50$,493,4915,0.414864909350118,,,0.55625,0-1pound,8.66 x 2.72 x 0.75 inches,1-50sq.inch,
mas ignition coil dg508 & motorcraft spark plug sp479 compatible with ford 4.6l 5.4l v8 dg457 dg472 dg491 crown victoria expedition f-150 f-250 mustang lincoln mercury explorer (set of 8),https://www.amazon.com/Ignition-Motorcraft-VICTORIA-EXPEDITION-EXPLORER/dp/B073ZPP2SK/ref=sr_1_51?dchild=1&keywords=spark+plugs&qid=1633497938&s=automotive&sr=1-51,B073ZPP2SK,MAS,spark plug,80.99,51-100$,695,56288,4.75115280111891,,"C566 F7TU12A366AB GN10164 1L2U12029AA 1L2U12A366A, COP9 FD503 DG467 DG473 DG481 FD493 DQ50101 FD503T, DG508 DG457 DG472 DG491 F523 DG508 3W7Z12029AA",4.1,2.1-5pound,11.89 x 9.17 x 3.94 inches,2011-500sq.inch,
autolite xp5683-4pk iridium xp spark plug pack of 4 white,https://www.amazon.com/Autolite-XP5683-4PK-Iridium-Spark-Plug/dp/B078KQZV8D/ref=sr_1_53?dchild=1&keywords=spark+plugs&qid=1633497938&s=automotive&sr=1-53,B078KQZV8D,Autolite,spark plug,24.82,0-50$,173,4294,0.362447593234874,XP5683-4PK,,0.36875,0-1pound,3.38 x 4 x 1 inches,1-50sq.inch,Mexico
denso set 4 iridium power spark plugs gap 0.035 for acura honda hyundai kia l4,https://www.amazon.com/Denso-Iridium-Power-Spark-Hyundai/dp/B08PVYJFL6/ref=sr_1_54?dchild=1&keywords=spark+plugs&qid=1633497938&s=automotive&sr=1-54,B08PVYJFL6,Newparts,spark plug,33.95,0-50$,60,2037,0.171938925807974,,"101905622, 12290R40A01, 12290R70A02, 1884611070, 7B0905600A, 95517022090, IXUH22I",0.7,0-1pound,,,
acdelco gm original equipment 41-108 iridium spark plug,https://www.amazon.com/ACDelco-41-108-Professional-Iridium-Spark/dp/B0016HNOFY/ref=sr_1_55?dchild=1&keywords=spark+plugs&qid=1633497938&s=automotive&sr=1-55,B0016HNOFY,ACDelco,spark plug,7.5,0-50$,191,1433,0.120956544272374,GM Original Equipment,12620540,0.05,0-1pound,6.7 x 3.9 x 1 inches,1-50sq.inch,USA
ngk  6509 iridium spark plug ltr6ix-11 - 6 pcsnew,https://www.amazon.com/NGK-6509-Iridium-Spark-LTR6IX-11/dp/B00J62NNAC/ref=sr_1_56?dchild=1&keywords=spark+plugs&qid=1633497938&s=automotive&sr=1-56,B00J62NNAC,NGK,spark plug,35.9,0-50$,316,11344,0.957523404205034,,,0.65,0-1pound,3.7 x 0.94 x 4.98 inches,1-50sq.inch,
ngk 93911-4pk lkr7aix iridium ix spark plug box of 4,https://www.amazon.com/NGK-93911-LKR7AIX-Iridium-Spark/dp/B01DMFGQ52/ref=sr_1_57?dchild=1&keywords=spark+plugs&qid=1633497938&s=automotive&sr=1-57,B01DMFGQ52,NGK,spark plug,27.7,0-50$,150,4155,0.35071489284837,93911-4PK,,0.4,0-1pound,4.02 x 3.86 x 0.83 inches,1-50sq.inch,
ngk 7090 bkr5egp g-power spark plug pack of 4,https://www.amazon.com/NGK-7090-BKR5EGP-G-Power-Spark/dp/B00L3XGGJ2/ref=sr_1_58?dchild=1&keywords=spark+plugs&qid=1633497938&s=automotive&sr=1-58,B00L3XGGJ2,NGK,spark plug,13.46,0-50$,812,10930,0.922578526794871,7090-4PK,BKR5EGP,0.43125,0-1pound,3.4 x 1.1 x 0.9 inches,1-50sq.inch,
bosch 4417 platinum+4 fgr7dqp spark plug(pack of 6),https://www.amazon.com/Bosch-4417-Platinum-FGR7DQP-spark/dp/B07614Z5F5/ref=sr_1_59?dchild=1&keywords=spark+plugs&qid=1633497938&s=automotive&sr=1-59,B07614Z5F5,BOSCH,spark plug,39.95,0-50$,75,2996,0.252886117683205,,,0.45,0-1pound,5.51 x 4.02 x 1.5 inches,1-50sq.inch,
long endurance ignition coil and spark plug pack of 4pcs. compatible with 2002-2006 nissan altima sentra 2002-2008 x-trail 2.5l replacement for uf350 5c1395 c1398 22448-8h315,https://www.amazon.com/Endurance-Compatible-2002-2006-Replacement-22448-8H315/dp/B096YHYPSJ/ref=sr_1_60?dchild=1&keywords=spark+plugs&qid=1633497938&s=automotive&sr=1-60,B096YHYPSJ,QVDX,spark plug,69.99,51-100$,30,2100,0.177256624544303,,,2.23,2.1-5pound,8.43 x 6.89 x 4.37 inches,2011-500sq.inch,
vplus set of 6 ignition coils pack uf553 7t4z-12029-e & spark plugs 5019 ltr5gp compatible with ford flex taurus edge lincoln mks mkt mkz mkx mercury sable 3.5l v6,https://www.amazon.com/Vplus-Ignition-7T4Z-12029-Compatible-Lincoln/dp/B088R75W5W/ref=sr_1_61?dchild=1&keywords=spark+plugs&qid=1633497938&s=automotive&sr=1-61,B088R75W5W,Vplus,spark plug,69.99,51-100$,137,9589,0.809387510835866,,,4.13,2.1-5pound,10.71 x 7.13 x 4.17 inches,2011-500sq.inch,
ngk (7100) zfr6fgp spark plug - pack of 4,https://www.amazon.com/NGK-ZFR6FGP-Spark-Plug-Pack/dp/B00BPITZYS/ref=sr_1_62?dchild=1&keywords=spark+plugs&qid=1633497938&s=automotive&sr=1-62,B00BPITZYS,NGK,spark plug,14.14,0-50$,232,3280,0.276857965954911,,,0.55,0-1pound,3.31 x 0.94 x 3.32 inches,1-50sq.inch,
